order_date,model,qty,unit_price,note,source_file
2025-01-07,LS-5UTPD-3MY,2200,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-5UTPD-7MY,400,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-5UTPD-15MY,200,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-5STPD-2M,3000,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-5STPD-3M,2000,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-5STPD-5M,1600,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-5STPD-50M,120,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-6UTPD-3MG,2100,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-6UTPD-10MG,1600,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-6STPD-3M,2100,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-6STPD-5M,1800,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-6STPD-10M,640,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-6STPD-15M,600,,qty_raw='600\\',18423__new order-2025-0107.xlsx
2025-01-07,LS-6STPD-30M,320,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-6STPD-50M,240,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-SL6-2B,1300,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-SL6-3B,600,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-SL6-10W,400,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-7SSTPD-3MG,2100,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-7SSTPD-10MG,960,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-7SSTPD-15MG,780,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-7SSTPD-20MG,600,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-7NSTPD-50M,160,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-7SSTP-300MB,100,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-SER-25MF-1.8M,700,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-SER-25MF-5M,300,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-SER-9MF-5M,1000,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-USB-AMAM-0.15M,2000,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-USB-AMAM-1M,1500,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-USB-AMAM-1.8M,2200,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-USB-AMAF-1.8M,4400,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-ANT-MMG-2M,1000,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-ANT-MMG-5M,600,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-ANT-MMG-10M,400,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-OM4-LCLC-3M,220,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-OM4-LCLC-5M,240,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-OM4-LCLC-10M,150,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-HDMI-NEMM-1.5M,1200,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-HDMI-HMF-2M,900,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-HDMI-HMF-5M,300,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-DVI19M-HDMI-1.5M,1200,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-HDAOC-10M,30,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-HDAOC-15M,30,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-HDAOC-20M,30,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-U30AOC50,30,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-WC-RJ45,1000,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-DP192-2M,1600,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-FSB,300,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-CUP-ID8C,5000,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-EPLB-24P19N,300,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-6PLB-24P19N,300,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-300HR (바퀴포함),30,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-500H,50,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-1000H,10,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-1200H,10,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-1800H,10,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-500HB,50,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-1000HB,10,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-1200HB,10,,,18423__new order-2025-0107.xlsx
2025-01-07,LS-1800HB,10,,,18423__new order-2025-0107.xlsx
2025-02-11,LS-5UTPD-1MB,2700,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-5UTPD-3MB,2200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-5UTPD-2MR,1700,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-5UTPD-5MR,1000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-5UTPD-7MR,800,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-C5U305G,500,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-C5U305BK,100,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-C5U305BL,100,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-C5U305GN,100,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-C5OD300,200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-5UTP-100MGR,100,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-1MG,4500,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-5MB,1200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-7MG,1200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-10MB,640,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-2MR,1800,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-3MR,1400,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-5MR,600,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-10MR,320,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-2MY,1800,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-3MY,1400,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-5MY,600,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6UTPD-10MY,320,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6STPD-0.3M,3200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6AUTP-0.5M,2000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6AUTP-1M,3000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6AUTP-2M,2500,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6AUTP-3M,900,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6AUTP-5M,600,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-6AUTP-10M,400,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LSP-7UTP-0.5M,4400,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LSP-7UTP-1M,3000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LSP-7UTP-2M,900,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LSP-7UTP-20M,200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LSP-7UTP-50M,100,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-7UTP-300MG,100,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-SER-9FF-1.8M,2000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-SER-9MF-1.8M,3000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-SER-9MF-10M,720,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-USB-AMAM-1M,1500,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-USB-AMBM-3M,1400,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-USB-AMAM-5M,1800,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-USB-AMAM-10M,600,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-USB-AMAM-3M,1400,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-USB-AMBM-0.15M,1000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-USB-AM5P-3M,1800,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-USB-AM5P-5M,1000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-USB-AMMIC-1.5M,1000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-SHD20-0.5M,2500,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-SHD20-1.5M,1600,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-SHD20-3M,1000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-SHD20-5M,800,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-PS2-6MM-1.8M,2400,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-FMD-LCLC-3M,220,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-FMD-LCLC-5M,160,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-FMD-LCLC-15M,80,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-OM3-LCLC-3M,600,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-OM3-LCLC-5M,500,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-OM3-LCLC-10M,300,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-OM3-LCLC-15M,200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-OM3-LCLC-20M,140,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-OM3-LCLC-30M,150,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-OM4-LCLC-1M,150,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-OM4-LCLC-20M,70,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-OM4-LCLC-30M,60,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-FSD-LCLC-20M,70,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-FSD-SCSC-15M,80,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-FSD-SCSC-30M,60,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DPAOC-20M,30,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DPAOC-30M,30,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-U3AOC30,20,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DP192-1.5M,1000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DP192-2M,1600,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DP192-3M,1200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DP192-5M,800,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DP192-60H-2M,1600,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DP192-60H-3M,1200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DP192-60H-5M,800,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-DP12HD,1000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-MDP12HD,1000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-WPCOP-C6A,1200,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-CUP-ID8PI,10000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-M850N,1000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LSN-CON66,60000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LSN-CAT5E-UTP50BL,100000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LSN-PASS-5ESTP,60000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LSN-6PASS-STP,60000,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-300HR (바퀴포함),50,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-500HS,10,,,18868__NEW ORDER-2025-0211.xlsx
2025-02-11,LS-2000HS,10,,,18868__NEW ORDER-2025-0211.xlsx
2025-03-21,LS-5UTPD-0.5MG,3600,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-5UTPD-3MG,3300,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-5FTPSD-BK5M,1000,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTPD-1MG,3000,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTPD-5MG,3000,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTPD-10MG,960,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTPD-20MG,800,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTPD-50MG,200,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTPD-2MB,1800,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTPD-3MB,2100,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTPC-10MG,320,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTP-300MB,200,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTP-300MBK,100,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-6UTP-300MP,100,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-7SSTPD-0.5MG,3000,,remark=VR,19403__new order-2025-0321.xlsx
2025-03-21,LS-7SSTPD-50MG,200,,,19403__new order-2025-0321.xlsx
2025-03-21,LS-HDMI-NEMM-1.5M,1200,,,19403__new order-2025-0321.xlsx
