"# O=완제품 단위 인증서 보유 / 자재=자재별 성적서 묶음 보유 / X=없음. 케이블은 자재별 성적서 묶음도 정상적인 근거이며, 아래 자재커버리지로 누락 자재를 확인"
"# * 표시(O*, 자재*) = 라인 단위 인증서를 제품군에 대응시킨 추론 매핑에만 근거함. 고객 제출 전 해당 모델이 인증서 적용범위에 포함되는지 확인 권장"
모델명,Data sheet,RoHS,CE,CoC,Fluke test,제품구분,RoHS 자재커버리지,RoHS 미확보 자재,기타 보유자료,4대자료 없음수
DP12MM-10M,X,O,O,X,X,케이블,-,-,-,3
LS-1000,O,X,X,X,X,케이블,-,-,-,4
LS-1000H,O,O*,O*,X,X,케이블,-,-,"Other-cert, Test report",2
LS-1000HB,O,O*,O*,X,X,케이블,-,-,"Other-cert, Test report",2
LS-1000HQ,O,X,O*,X,X,커넥터/액세서리,-,-,Other-cert,3
LS-1000HS,자재,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-1200 TO 2000,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-1200H,O,O*,O*,X,X,커넥터/액세서리,-,-,"Other-cert, Test report",2
LS-1200HB,O,O*,O*,X,X,커넥터/액세서리,-,-,"Other-cert, Test report",2
LS-1200HQ,O,X,O*,X,X,커넥터/액세서리,-,-,Other-cert,3
LS-1200HS,O,O*,O*,X,X,커넥터/액세서리,-,-,"Other-cert, Test report",2
LS-1200HS TO 2000HS,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-1600H,O,O*,O*,X,X,커넥터/액세서리,-,-,"Other-cert, Test report",2
LS-1600HB,O,O*,O*,X,X,커넥터/액세서리,-,-,"Other-cert, Test report",2
LS-1600HBO,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-1600HC,O,X,O*,X,X,커넥터/액세서리,-,-,"Other-cert, Test report",3
LS-1600HO,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-1600HQ,O,X,O*,X,X,커넥터/액세서리,-,-,Other-cert,3
LS-1600HS,O,O*,O*,X,X,케이블,-,-,Other-cert,2
LS-1600HSQ,O,X,O*,X,X,커넥터/액세서리,-,-,Other-cert,3
LS-1800H,O,O*,O*,X,X,커넥터/액세서리,-,-,"Other-cert, Test report",2
LS-1800HB,O,O*,O*,X,X,커넥터/액세서리,-,-,"Other-cert, Test report",2
LS-1800HBO,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-1800HBS,O,O*,O*,X,X,케이블,-,-,"Other-cert, Test report",2
