# 공급사에 보낸 인증·기술자료 요청 메일 전수 판독 대장. 1행 = (모델 표기 × 자료유형) 1건
"# 판독 대상: 공급사·인증기관 수신 발송메일 5,346통에서 추린 요청 후보 325통 (요청 메일 288통 / 요청 항목 549건)"
# 현재보유: 보유=조회엔진이 문서를 찾음 / 미보유=마크 X 또는 모델이 지식베이스 미등재 / 판정불가=모델 미특정·제품군 모호
# 확정여부: 확정 외(추정…)는 모델 해석 또는 인증서 적용범위가 추정이라는 뜻 — 고객 제출 전 적용범위 확인 필요
# 마크: O=완제품 단위 인증서 / 자재=자재별 성적서 묶음 / *=라인 인증서 추론 매핑 / 전사=제조사 단위 인증 / X=없음
# 자료유형 기타(Other-cert): FCC·ETL·IP67/68·원산지증명·공장등록증·LSZH 난연·CCC 등 매핑표 밖 요청. manifest Other-cert 축으로 판정
"# 정렬: 미보유 → 판정불가 → 보유, 그 다음 모델명·자료유형"
모델,제품군,매칭경로,확정여부,자료유형,현재보유,마크,요청횟수,최초요청,최근요청,수신처,대표 메일제목,근거문구
DVI19M-HDMI-Xm,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Test report.,"If you don't have test report, Just please send the data sheet."
DVI19M-HDMI-Xm,,none(KB 미등재),추정불가,RoHS,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Test report.,the test report (ROHS or data sheet). 2. DVI19M-HDMI-Xm
DVI19M-HDMI-Xm,,none(KB 미등재),추정불가,Test report,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Test report.,Our customer request the test report ... 2. DVI19M-HDMI-Xm
LS-2RST-xm,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2021-01-11,2021-01-11,EPNU Cable (Anna),data sheet.,we need new datasheet ... 8. LS-2RST-xm
LS-2UBD,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2021-04-01,2021-04-01,BOR Cable (Mr Gu),drawer of hub rack,"We need data sheet include thickness about drawer of hub rack. (LS-2UID, LS-4UID , LS-2UBD , LS-4UBD)"
LS-2UID,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2021-04-01,2021-04-01,BOR Cable (Mr Gu),drawer of hub rack,"We need data sheet include thickness about drawer of hub rack. (LS-2UID, LS-4UID , LS-2UBD , LS-4UBD)"
LS-300HO,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Data Sheet about Assembly Rack,"We need the data sheet about Assembly Rack.(LS-300HO, 500HO)"
LS-4UBD,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2021-04-01,2021-04-01,BOR Cable (Mr Gu),drawer of hub rack,"We need data sheet include thickness about drawer of hub rack. (LS-2UID, LS-4UID , LS-2UBD , LS-4UBD)"
LS-4UID,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2021-04-01,2021-04-01,BOR Cable (Mr Gu),drawer of hub rack,"We need data sheet include thickness about drawer of hub rack. (LS-2UID, LS-4UID , LS-2UBD , LS-4UBD)"
LS-500HO,,none(KB 미등재),추정불가,Data sheet,미보유,X,1,2020-06-02,2020-06-02,BOR Cable (Mr Gu),Data Sheet about Assembly Rack,"We need the data sheet about Assembly Rack.(LS-300HO, 500HO)"
LS-500HS,LS-500HS,exact,확정,Drawing,미보유,X,1,2023-12-26,2023-12-26,BOR Cable (Mr Gu),RE: Re: RE: Rack cabinet drawing file.,"We need new rack cabinet ""LS-500HS"" too."
LS-5FTPSD-BKxM,LS-5FTPSD-BKXM,exact,확정,CE,미보유,X,1,2022-09-23,2022-09-23,BOR Cable (Mr Gu),CE certificate about Screw cable,We need CE certificate about below cables. 1. LS-5FTPSD-BKxM
LS-5SFTP-300M,LS-5SFTP-300M,exact,확정,Test report,미보유,X,2,2020-07-23,2026-04-15,BOR Cable (Mr Gu),"RE: Request for Cable Specifications, Test Reports, Certifications, and Jacket Material Options",confirm whether you can provide: ... - Test report
