prod_cd,prod_name,model,keywords
A-기타어09001,전화 멀티탭 5구 5호,,전화 멀티탭 5구 5호 A-기타어
A-멀티탭28001,[현대일렉트릭] 멀티탭 [3구/16A/접지] HM16-33 [3M],,현대일렉트릭 3구/16A/접지 3M 멀티탭  HM16-33 A-멀티탭 16A 3M
A-멀티탭28002,[현대일렉트릭] 멀티탭 4구/16A/1.5M [HM-16-42],,현대일렉트릭 HM-16-42 멀티탭 4구/16A/1.5M A-멀티탭 16A 5M
A-멀티탭28003,[현대일렉트릭] 멀티탭 [4구/16A/접지] HM16-45 [5M],,현대일렉트릭 4구/16A/접지 5M 멀티탭  HM16-45 A-멀티탭 16A 5M
A-멀티탭28004,[현대일렉트릭] 멀티탭 5구/16A/3M [HM-16-53],,현대일렉트릭 HM-16-53 멀티탭 5구/16A/3M A-멀티탭 16A 3M
A-멀티탭28005,[현대일렉트릭] 멀티탭 2구/16A/2M [HM-16-22],,현대일렉트릭 HM-16-22 멀티탭 2구/16A/2M A-멀티탭 16A 2M
A-멀티탭28006,[현대일렉트릭] 멀티탭 3구/16A/2M [HM-16-32],,현대일렉트릭 HM-16-32 멀티탭 3구/16A/2M A-멀티탭 16A 2M
A-멀티탭28007,[현대일렉트릭] 멀티탭 4구/16A/1.5M [HM-16-42]/ 스위치형,,현대일렉트릭 HM-16-42 멀티탭 4구/16A/1.5M / 스위치형 A-멀티탭 16A 5M
A-멀티탭28008,[현대일렉트릭] 멀티탭 4구/16A/3M [HM-16-43]/ 스위치형,,현대일렉트릭 HM-16-43 멀티탭 4구/16A/3M / 스위치형 A-멀티탭 16A 3M
A-멀티탭28009,"[L0029105] Coms 개별 스위치 멀티탭 3구 접지, 대한 SW 2호, 16A 1.5M",,"L0029105 Coms 개별 스위치 멀티탭 3구 접지, 대한 SW 2호, 16A 1.5M A-멀티탭 16A 5M"
A-멀티탭28010,"[GS3896] 멀티탭 3구 접지 USB포트 지원/USB 2포트, 선길이 1.5M",,"GS3896 멀티탭 3구 접지 USB포트 지원/USB 2포트, 선길이 1.5M A-멀티탭 USB 5M"
