PROD_CD,PROD_NAME,MODEL_NAME,UNIT_PRICE
AB-잡자재0001,"[LANstar] 스마트폰 터치 장갑 , 블랙 [20271]",LS-STB,3000
AB-잡자재0002,"[LANstar] 스마트폰 터치 장갑 , 화이트 [20272]",LS-STW,3000
AB-잡자재0003,"[LANstar] 스마트폰 터치 장갑 , 그레이 [20273]",LS-STG,3000
AB-잡자재0038,"[LANstar] 맥세이프 차량용 거치대 진공흡착 거치대, White [30934]",LS-MSSTW,7000
AB-잡자재0039,"[LANstar] 맥세이프 차량용 거치대 진공흡착 거치대, Black [30935]",LS-MSSTB,7000
AV0-스피커007,[LANstar] 외장 3.5mm 마이크 케이블 (클립형) Single (3극 젠더 포함) [20170],LS-MC1,6000
AV0-스피커008,[LANstar] 외장 3.5mm 마이크 케이블 (클립형) Dual (3극 젠더 포함) [20171],LS-MC2,7000
AV0-스피커028,"[LANstar] Type C 마이크, 스마트폰 마이크 [30475]",LS-MC3,6000
AVD-모니터003,[LANstar] TV 모니터 스크린 선반 트레이 18cm [30534] (40개),LS-MTR18,2500
AVD-모니터004,[LANstar] TV 모니터 스크린 선반 트레이 26cm [30535] (40개),LS-MTR26,3000
AVD-모니터021,[LANstar] TV 모니터 스크린 선반 트레이 60cm [30721] (30개),LS-MTR60,8000
AVD-모니터022,[LANstar] TV 모니터 스크린 선반 트레이 90cm [30722] (20개),LS-MTR90,10000
AVO-HD선054,"[LANstar] HDMI 2.1v AOC 케이블, 5M [30908](10개)",LS-H21AOC-5M,22800
AVO-HD선055,"[LANstar] HDMI 2.1v AOC 케이블, 10M [30909](10개)",LS-H21AOC-10M,24700
AVO-HD선056,"[LANstar] HDMI 2.1v AOC 케이블, 15M [30910](10개)",LS-H21AOC-15M,27000
AVO-HD선057,"[LANstar] HDMI 2.1v AOC 케이블, 20M [30911](10개)",LS-H21AOC-20M,29700
AVO-HD선058,"[LANstar] HDMI 2.1v AOC 케이블, 30M [30912](10개)",LS-H21AOC-30M,35800
AVO-HD선059,"[LANstar] HDMI 2.1v AOC 케이블, 40M [30913](10개)",LS-H21AOC-40M,39900
AVO-HD선060,"[LANstar] HDMI 2.1v AOC 케이블, 50M [30914](10개)",LS-H21AOC-50M,44400
AVO-HD선061,"[LANstar] HDMI 2.1v AOC 케이블, 70M [30915](4개)",LS-H21AOC-70M,59500
AVO-HD선062,"[LANstar] HDMI 2.1v AOC 케이블, 100M [30916](4개)",LS-H21AOC-100M,73100
AVO-HD선063,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 10M [30917](10개)",LS-HAP21AOC-10M,44700
AVO-HD선064,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 20M [30918](10개)",LS-HAP21AOC-20M,50300
AVO-HD선065,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 30M [30919](10개)",LS-HAP21AOC-30M,58100
AVO-HD선066,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 50M [30920](10개)",LS-HAP21AOC-50M,68200
AVO-HD선067,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 70M [30921](4개)",LS-HAP21AOC-70M,84600
AVO-HD선068,"[Lanstar] HDMI 2.1v AOC 배관용 분리형 케이블, 100M [30922](4개)",LS-HAP21AOC-100M,100500
AVO-디코더020,"[LANstar] Video to VGA 디코더 VGA(RGB), SVHS, RCA 입력, VGA(RGB) 출력 [60127] (40개)",LS-DEC,12000
AVO-사운드027,[LANstar] USB 사운드 카드 - 7.1채널/ 입출력 포트[60090](500개),LS-USOUND-7.1,2500
AVO-사운드030,"[LANstar] PCI-express 사운드카드, 5.1채널 [60128]",LS-EX71CH,18000
AVO-사운드036,"[LANstar] PCI-express 사운드카드, 5.1채널 3D 스테레오 서라운드, CMI8738칩셋 [20174] (100개)",LS-EX51CH,11000
AVO-사운드048,[LANstar] USB-C to Audio + PD 컨버터 [30411],LS-C2AP,13000
AVO-사운드051,[LANstar] PCI-e 5.1채널 사운드카드 [30520] (100개),LS-EX51CHN,13500
AVO-수신기058,[LANstar] 디지털 TV 안테나 UHD 지상파 수신기+증폭기 세트 [30946][50개],LS-UHANT,12000
AVO-엔코더017,"[LANstar] VGA to Video 엔코더 VGA(RGB) 입력, VGA(RGB), SVHS, RCA 출력 [60126] (40개)",LS-ENC,10000
AVO-영상변009,"CCTV영상 전송거리 연장 장치(UTP101P-4) - CCTV거리연장 장치, 2개 1셋트",UTP101P-4,4800
AVO-이어폰194,[LANstar] PC 헤드셋 변환케이블 White 0.7M[10908],LS-PCHEADSET-0.7MW,1900
AVO-이어폰195,[LANstar] PC 헤드셋 변환케이블 평면 Black/Red 0.2M[10909],LS-PCHEADSET-F0.2MF,900
AVO-이어폰197,[LANstar] PC 헤드셋 변환케이블 블랙 메탈 0.3M [11053] (500개),LS-PCHEADSET-0.3MB,1500
AVO-이어폰198,"[LANstar] PC 헤드셋 변환케이블 그레이 메탈 0.3M [11054] (1,000개)",LS-PCHEADSET-0.3MG,1500
AVO-이어폰199,"[LANstar] PC 헤드셋 변환케이블 블루 메탈 0.3M [11055] (1,000개)",LS-PCHEADSET-0.3MBL,1500
BAT-건전지045,"[LANstar] GAN II 65W 3포트 충전기, PPS/PD3.0 [30781](100개)★★할인제외★★",KYT826-PD65W-CCA (LS-GAN65W),17000
CAB-139007,"[LANstar] 1394투명케이블 , 4P-4P, M／M, 2M[10372]",LS-T1394-44M1.5M,1500
CAB-139009,"[LANstar] 1394투명케이블 , 4P-4P ,M／M, 5M[10374] (80개)",LS-T1394-44M5M,2000
CAB-139010,"[LANstar] 1394투명케이블 , 4P-4P , M／M, 10M[10097] (50개)",LS-T1394-44M10M,4800
